zpid,id,detailUrl,address,addressStreet,Zipcode,number of bedrooms,number of bathrooms,area,price,latitude,longitude
86101281,86101281,https://www.zillow.com/homedetails/814-S-Washington-St-Stillwater-OK-74074/86101281_zpid/,"814 S Washington St, Stillwater, OK 74074",814 S Washington St,74074,4,2,1528,220000,36.112846,-97.06975
86101643,86101643,https://www.zillow.com/homedetails/2610-S-Black-Oak-Dr-Stillwater-OK-74074/86101643_zpid/,"2610 S Black Oak Dr, Stillwater, OK 74074",2610 S Black Oak Dr,74074,3,4,3225,420000,36.093513,-97.0999
86103077,86103077,https://www.zillow.com/homedetails/2424-W-8th-Ave-Stillwater-OK-74074/86103077_zpid/,"2424 W 8th Ave, Stillwater, OK 74074",2424 W 8th Ave,74074,3,1,1291,130000,36.11339,-97.0907
125524821,125524821,https://www.zillow.com/homedetails/2718-S-Oxford-Dr-Stillwater-OK-74074/125524821_zpid/,"2718 S Oxford Dr, Stillwater, OK 74074",2718 S Oxford Dr,74074,4,2,2458,338500,36.090824,-97.09138
86100801,86100801,https://www.zillow.com/homedetails/3905-W-Yorkshire-Dr-Stillwater-OK-74074/86100801_zpid/,"3905 W Yorkshire Dr, Stillwater, OK 74074",3905 W Yorkshire Dr,74074,3,2,1548,205000,36.104755,-97.10898
86104960,86104960,https://www.zillow.com/homedetails/6505-W-Coventry-Dr-Stillwater-OK-74074/86104960_zpid/,"6505 W Coventry Dr, Stillwater, OK 74074",6505 W Coventry Dr,74074,4,3,3541,243000,36.087383,-97.147705
86105455,86105455,https://www.zillow.com/homedetails/2008-W-26th-Ave-Stillwater-OK-74074/86105455_zpid/,"2008 W 26th Ave, Stillwater, OK 74074",2008 W 26th Ave,74074,3,3,2026,252500,36.094986,-97.08298
86107053,86107053,https://www.zillow.com/homedetails/4710-W-Village-Ct-Stillwater-OK-74074/86107053_zpid/,"4710 W Village Ct, Stillwater, OK 74074",4710 W Village Ct,74074,2,2,2210,345000,36.104813,-97.12153
2063411556,2063411556,https://www.zillow.com/homedetails/3905-Yorkshire-Dr-Stillwater-OK-74074/2063411556_zpid/,"3905 Yorkshire Dr, Stillwater, OK 74074",3905 Yorkshire Dr,74074,3,2,1548,205000,36.104748,-97.108986
2068775201,2068775201,https://www.zillow.com/homedetails/6009-N-Platinum-Dr-Stillwater-OK-74075/2068775201_zpid/,"6009 N Platinum Dr, Stillwater, OK 74075",6009 N Platinum Dr,74075,3,2,1813,330476,0.0,0.0
93370866,93370866,https://www.zillow.com/homedetails/1113-E-Connell-Ave-Stillwater-OK-74075/93370866_zpid/,"1113 E Connell Ave, Stillwater, OK 74075",1113 E Connell Ave,74075,3,2,1785,205000,36.12823,-97.04523
